apple,5
her,5
red,7
Elsa,7
Olivia,8
cape,9
Anna,11
the,8
is,9
a,9
on,9
I,8
to,9
it,8
says,9
for,9
and,9
have,9
in,9
like,8
so,8
we,8
with,8
time,8
where,8
who,8
he,9
up,8
my,9
friend,8
has,9
see,8
does,9
off,10
pleasure,9
am,10
his,10
